日期,开盘价,最高价,最低价,收盘价,成交量
2025-07-01,0.368,0.371,0.368,0.37,964862908
2025-07-02,0.371,0.373,0.367,0.368,928159533
2025-07-03,0.369,0.371,0.367,0.37,888409200
2025-07-04,0.371,0.374,0.37,0.371,1318200550
2025-07-07,0.372,0.373,0.366,0.367,1108080477
2025-07-08,0.367,0.37,0.366,0.369,1222415981
2025-07-09,0.37,0.376,0.367,0.374,1948928610
2025-07-10,0.372,0.378,0.372,0.375,1250112481
2025-07-11,0.377,0.384,0.376,0.381,2307607947
2025-07-14,0.38,0.383,0.379,0.38,1114119613
2025-07-15,0.381,0.383,0.377,0.381,1461155690
2025-07-16,0.381,0.384,0.379,0.381,1079312900
2025-07-17,0.381,0.387,0.38,0.387,1737119250
2025-07-18,0.388,0.392,0.387,0.391,1716579622
2025-07-21,0.392,0.392,0.387,0.39,1505909520
2025-07-22,0.39,0.396,0.389,0.392,1598815231
2025-07-23,0.392,0.397,0.391,0.393,1573198397
2025-07-24,0.392,0.404,0.392,0.401,2276168294
2025-07-25,0.402,0.408,0.4,0.401,2341718556
2025-07-28,0.405,0.412,0.405,0.41,2818792490
2025-07-29,0.415,0.424,0.41,0.421,3261434215
2025-07-30,0.42,0.431,0.418,0.424,3385257231
2025-07-31,0.422,0.424,0.413,0.416,2740589600
2025-08-01,0.414,0.421,0.407,0.409,2161118947
2025-08-04,0.406,0.409,0.4,0.409,2076971351
2025-08-05,0.41,0.413,0.408,0.411,1417501500
2025-08-06,0.411,0.415,0.408,0.41,1255329317
2025-08-07,0.409,0.413,0.405,0.407,1299276714
2025-08-08,0.406,0.408,0.402,0.406,1304861590
2025-08-11,0.405,0.41,0.404,0.407,1295052609
2025-08-12,0.409,0.412,0.405,0.408,1294833142
2025-08-13,0.409,0.419,0.408,0.418,1907347732
2025-08-14,0.419,0.423,0.413,0.415,1744535886
2025-08-15,0.413,0.419,0.413,0.417,1314486282
2025-08-18,0.418,0.421,0.416,0.418,1768959427
2025-08-19,0.418,0.426,0.41,0.411,2153850811
2025-08-20,0.409,0.415,0.407,0.415,1408881755
2025-08-21,0.416,0.424,0.416,0.42,2142756231
2025-08-22,0.421,0.424,0.418,0.424,1451323631
2025-08-25,0.426,0.434,0.424,0.434,2158469601
2025-08-26,0.433,0.433,0.428,0.429,1510825490
2025-08-27,0.429,0.433,0.42,0.42,2220660805
2025-08-28,0.419,0.421,0.409,0.419,2158960264
2025-08-29,0.419,0.433,0.418,0.431,2219990437
2025-09-01,0.433,0.448,0.431,0.446,2855272217
2025-09-02,0.449,0.456,0.442,0.448,2377945253
2025-09-03,0.447,0.455,0.444,0.447,1889681998
2025-09-04,0.45,0.45,0.425,0.431,2289132697
2025-09-05,0.431,0.448,0.429,0.446,1937324299
2025-09-08,0.447,0.458,0.447,0.456,2098298566
2025-09-09,0.454,0.459,0.442,0.445,1777197177
2025-09-10,0.444,0.45,0.44,0.443,1265911800
2025-09-11,0.435,0.441,0.422,0.44,2536833084
2025-09-12,0.442,0.445,0.437,0.441,1613408644
2025-09-15,0.441,0.445,0.439,0.443,1271492700
2025-09-16,0.442,0.443,0.436,0.441,1195931800
2025-09-17,0.441,0.446,0.438,0.445,1332672780
2025-09-18,0.445,0.452,0.439,0.443,1856235700
2025-09-19,0.443,0.446,0.436,0.439,1243029823
2025-09-22,0.441,0.448,0.437,0.44,1248138600
2025-09-23,0.44,0.44,0.426,0.432,1575376606
2025-09-24,0.431,0.436,0.43,0.435,948602276
2025-09-25,0.438,0.444,0.436,0.443,1492422079
2025-09-26,0.439,0.439,0.433,0.433,1171890046
2025-09-29,0.432,0.436,0.425,0.435,1288477926
2025-09-30,0.435,0.446,0.434,0.446,1452222755
2025-10-09,0.446,0.448,0.438,0.448,2105907000
2025-10-10,0.445,0.446,0.434,0.437,1665213002
2025-10-13,0.425,0.429,0.421,0.426,1874997191
2025-10-14,0.427,0.429,0.413,0.416,2117156967
2025-10-15,0.416,0.423,0.413,0.422,2575745851
2025-10-16,0.422,0.429,0.419,0.424,1673424654
2025-10-17,0.423,0.425,0.414,0.415,1741590386
2025-10-20,0.416,0.42,0.413,0.414,1086303507
2025-10-21,0.416,0.42,0.415,0.419,1045044270
2025-10-22,0.419,0.422,0.415,0.416,816548700
2025-10-23,0.415,0.417,0.41,0.416,1247438110
2025-10-24,0.416,0.421,0.415,0.417,1004966708
2025-10-27,0.423,0.428,0.42,0.423,1502121758
2025-10-28,0.421,0.421,0.414,0.416,1329146790
2025-10-29,0.415,0.42,0.412,0.42,1251075715
2025-10-30,0.416,0.417,0.407,0.409,2503950899
2025-10-31,0.409,0.416,0.407,0.413,1455969261
2025-11-03,0.414,0.415,0.407,0.409,1501972000
2025-11-04,0.408,0.409,0.399,0.402,1607749891
2025-11-05,0.399,0.404,0.398,0.402,910444788
2025-11-06,0.402,0.404,0.399,0.404,834093447
2025-11-07,0.402,0.404,0.4,0.401,834953900
2025-11-10,0.402,0.406,0.399,0.405,1267468944
2025-11-11,0.406,0.407,0.401,0.404,1090096700
2025-11-12,0.404,0.409,0.403,0.405,1383374972
2025-11-13,0.405,0.412,0.404,0.411,1583234978
2025-11-14,0.409,0.413,0.407,0.408,1207983167
2025-11-17,0.407,0.408,0.399,0.401,1700916892
2025-11-18,0.401,0.403,0.398,0.399,1173579617
2025-11-19,0.399,0.4,0.396,0.398,1121941098
